SSA,C%,H/C,O/C,E,S,A,B,V,log(Kd)
0.257,0.857142857,0.166666667,4.17e-07,1.61,1.56,0.99,0.91,1.8643,0.903089987
0.415,0.857142857,0.166666667,4.17e-07,1.61,1.56,0.99,0.91,1.8643,1.170261715
0.946,0.857142857,0.166666667,4.17e-07,1.61,1.56,0.99,0.91,1.8643,0.342422681
1.03,0.384,0.125,4.17e-07,1.61,1.56,0.99,0.91,1.8643,1.274157849
0.54,0.637168142,0.152777778,0.222222222,1.61,1.56,0.99,0.91,1.8643,4.882450537
0.487,0.625,0.066666667,0.533333333,1.61,1.56,0.99,0.91,1.8643,0.544068044
0.951,0.591240876,0.111111111,0.49382716,1.61,1.56,0.99,0.91,1.8643,2.961421094
0.095226003,0.857142857,0.166666667,4.17e-07,3.5,3.6,1.35,3.29,3.1,1.395116153
0.092591164,0.857142857,0.166666667,0.2,3.5,3.6,1.35,3.29,3.1,1.330590843
0.067600787,0.923076923,0.083333333,0.0,3.5,3.6,1.35,3.29,3.1,1.523461781
0.104748603,0.857142857,0.166666667,4.17e-07,3.5,3.6,1.35,3.29,3.1,1.433763735
0.10185028,0.857142857,0.166666667,0.2,3.5,3.6,1.35,3.29,3.1,1.410465111
0.073746313,0.923076923,0.083333333,0.1,3.5,3.6,1.35,3.29,3.1,1.599876092
0.114271204,0.857142857,0.166666667,0.2,3.5,3.6,1.35,3.29,3.1,1.446939089
0.227272727,0.857142857,0.166666667,4.17e-07,2.0,1.45,0.45,1.0,1.3613,0.558948446
0.227272727,0.857142857,0.166666667,4.17e-07,0.74,1.17,0.45,1.22,1.4788,0.421274791
0.227272727,0.857142857,0.166666667,4.17e-07,1.87,1.17,0.18,0.97,1.9948,2.71009874
4.347826087,0.384,0.125,4.17e-07,1.73,1.55,0.47,0.45,1.8088,3.130333768
0.058754407,0.384,0.125,4.17e-07,1.73,1.55,0.47,0.45,1.8088,3.021189299
0.401,0.857142857,0.166666667,4.17e-07,1.22,1.29,0.17,1.01,1.6196,0.628593256
